Registration Date,Matching Fields,收货人,收货人所在国家,Consignee Full Address,Consignee Profile,Consignee Trade Roles,发货人,Shipper Full Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,发货人贸易角色,Origin Country,HS Code (Original Format),hs_2,HTS 海关编码,Goods Shipped,Item Quantity,Item Quantity Unit,重量 (公斤),价值 (美金)
2020-10-31,HS Code (2-digit),Excelitas Technologies Batam,Indonesia,"Jl. Beringin No.207, Muka Kuning, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29433, Indonesia",https://panjiva.com/Excelitas-Technologies-Batam/86445653,Manufacturer,Angular Machining,"2040 Hartog Dr, San Jose, CA 95131, USA",,,,https://panjiva.com/Angular-Machining/86647487,Manufacturer,United States,7222.2,72.0,72222090,26307358(10445) FLANGE,1.0,BX,2.45,3186.6
2020-10-28,Goods Shipped,United Media,Indonesia,"Jl. Pangeran Jayakarta No.121, RT.7/RW.7, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730, Indonesia",https://panjiva.com/United-Media/86470804,,Pure Safety Group,FRONT DESK 9201 WINKLER DR HOUSTON TX 770175913,,,,https://panjiva.com/Pure-Safety-Group/91510056,,United States,6307.9,63.0,63079090,RETAIL PACK ORANGE 72 INCH WEB LANYARD WITH TRIPLE ACTION LOCK & SWIVEL WITHLOOP 80,20.0,PCE,5.5771,1275.07
2020-10-28,HS Code (2-digit),Power Steel Mandiri Sanex Steel Indonesia,Indonesia,"Budi Mulya, Cikupa, Tangerang, Banten 15710, Indonesia",https://panjiva.com/Power-Steel-Mandiri-Sanex-Steel-Indonesia/86449577,,Global Metcorp Llc,"300 Wood Ave, Iselin, NJ 08830, USA",,,,https://panjiva.com/Global-Metcorp-Llc/89656031,,United States,7204.49,72.0,72044900,SHREDDED STEEL SCRAP AS PER ISRI 211,540.0,TNE,540398.0,163200.2
2020-10-28,Goods Shipped,Asindo Minasegara,Indonesia,"Jl. Sunia Negara No.1, Pemogan, Kec. Denpasar Sel., Kota Denpasar, Bali 80221, Indonesia",https://panjiva.com/Asindo-Minasegara/86454722,,Bumble Bee Anova,12855 NW 113TH COURT,,,,https://panjiva.com/Bumble-Bee-Anova/91509640,,United States,9024.9,90.0,90249010,"#80-11-0204 - CARTRIDGE, FILTER, FOR 80-11-0202, GTC #41-11-3010 - HOSE ASSEMBLY, 10,000 PSI,72",6.0,PCE,0.2303,55.13
2020-10-28,Goods Shipped,Cci Bintan,,LOTSD 3738 BIIE LOBAMED,https://panjiva.com/Cci-Bintan/86449245,,Coilcraft Industries Singapore Pte,BLK 512 CHAI CHEE LANE 0315 BEDOK INDUSTRIAL ESTATE SINGAPORE 469028,,,,https://panjiva.com/Coilcraft-Industries-Singapore-Pte/89689176,Manufacturer,United States,9025.8,90.0,90258020,"THERMOCOUPLE .125D X .750L X 72LEAD,PJ30GS-00D-72",20.0,PCE,2.0,401.77
2020-10-28,HS Code (2-digit),Jakarta Central Asia Steel,Indonesia,"No.Km, Jl. Raya Bekasi No.21-22, RT.9/RW.5, Rw. Terate, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13290, Indonesia",https://panjiva.com/Jakarta-Central-Asia-Steel/86440416,,Taison Global Metals,"1520 Bridgegate Dr, Diamond Bar, CA 91765, USA",,,,https://panjiva.com/Taison-Global-Metals/86791570,,United States,7204.49,72.0,72044900,PLATE AND STRUCTURAL STEEL SCRAP,209.431,TNE,209431.0,56127.51
2020-10-28,Goods Shipped,United Media,Indonesia,"Jl. Pangeran Jayakarta No.121, RT.7/RW.7, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730, Indonesia",https://panjiva.com/United-Media/86470804,,Pure Safety Group,FRONT DESK 9201 WINKLER DR HOUSTON TX 770175913,,,,https://panjiva.com/Pure-Safety-Group/91510056,,United States,6307.9,63.0,63079090,ORANGE 72 INCH WEB LANYARD WITH TRIPLE ACTION LOCK AND LOOP 40 LB TOOL LIMIT,20.0,PCE,3.3928,775.68
2020-10-28,HS Code (2-digit),Indo Baja Dayatama,Indonesia,"Jl. Raya Kebantenan No.24, RT.001RW003/RW.3, Semper Tim., Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",https://panjiva.com/Indo-Baja-Dayatama/86444921,,Quantum Steels Llc,"5223 W Orem Dr, Houston, TX 77045, USA",,,,https://panjiva.com/Quantum-Steels-Llc/86780619,,United States,7204.49,72.0,72044900,PLATE AND STRUCTURAL STEEL SCRAP,296.31,TNE,296310.0,86818.83
2020-10-28,Goods Shipped,Asindo Minasegara,Indonesia,"Jl. Sunia Negara No.1, Pemogan, Kec. Denpasar Sel., Kota Denpasar, Bali 80221, Indonesia",https://panjiva.com/Asindo-Minasegara/86454722,,Bumble Bee Anova,12855 NW 113TH COURT,,,,https://panjiva.com/Bumble-Bee-Anova/91509640,,United States,9024.9,90.0,90249010,"HOSE ASSEMBLY,10000 PSI 72 L,1/8X1/4NPT ENDS (A)",2.0,PCE,1.4044,336.24
2020-10-28,Goods Shipped,Asindo Minasegara,Indonesia,"Jl. Sunia Negara No.1, Pemogan, Kec. Denpasar Sel., Kota Denpasar, Bali 80221, Indonesia",https://panjiva.com/Asindo-Minasegara/86454722,,Bumble Bee Anova,12855 NW 113TH COURT,,,,https://panjiva.com/Bumble-Bee-Anova/91509640,,United States,9024.9,90.0,90249010,"#01-11-2965 - HOSE - 250 PSI, 72""L, 3/8"" NPT ENDS, BLUE",2.0,PCE,0.2689,64.37
