车辆,区域,时间,region
桂FB1360,富民商贸615,2021-06-14 23:01:00,区域
冀A293E1,富民商贸615,2021-06-14 21:44:00,区域
鲁QH6630,富民商贸615,2021-06-14 20:50:00,区域
赣D18340,富民商贸615,2021-06-14 19:01:00,区域
吉C4G488,富民商贸615,2021-06-14 18:30:00,区域
鲁PH5066,富民商贸615,2021-06-14 18:24:00,区域
鲁PH7317,富民商贸615,2021-06-14 18:12:00,区域
鲁Q500JG,富民商贸615,2021-06-14 17:42:00,区域
豫LF8833,富民商贸615,2021-06-14 17:28:00,区域
闽AR0851,富民商贸615,2021-06-14 17:22:00,区域
桂AA8532,富民商贸615,2021-06-14 17:14:00,区域
鲁PT2186,富民商贸615,2021-06-14 17:13:00,区域
皖C83227,富民商贸615,2021-06-14 17:08:00,区域
赣A30625,富民商贸615,2021-06-14 17:03:00,区域
鲁Q117JN,富民商贸615,2021-06-14 17:00:00,区域
粤BHC599,区域四,2021-06-14 16:54:00,区域
鲁H01L50,区域四,2021-06-14 16:41:00,区域
辽HA5306,区域四,2021-06-14 16:34:00,区域
鲁YC7793,区域四,2021-06-14 16:19:00,区域
桂P06501,区域四,2021-06-14 15:46:00,区域
皖KS6750,区域四,2021-06-14 15:35:00,区域
桂AQ1813,区域四,2021-06-14 15:35:00,区域
桂E56630,区域四,2021-06-14 15:34:00,区域
鲁FBK087,区域四,2021-06-14 15:16:00,区域
辽BHJ820,区域四,2021-06-14 15:08:00,区域
鲁FAS559,区域四,2021-06-14 15:06:00,区域
陕AQ7050,区域四,2021-06-14 15:04:00,区域
鲁FA7992,区域四,2021-06-14 14:38:00,区域
豫NS5071,区域四,2021-06-14 14:36:00,区域
桂P20969,区域四,2021-06-14 14:28:00,区域
鲁YC7793,区域三,2021-06-14 16:09:00,区域
辽FL7157,区域四,2021-06-14 13:11:00,区域
豫NM2210,区域四,2021-06-14 13:01:00,区域
鲁NY2783,区域四,2021-06-14 12:50:00,区域
浙G51137,区域四,2021-06-14 11:53:00,区域
桂K18960,区域四,2021-06-14 11:53:00,区域
冀C98178,区域四,2021-06-14 11:36:00,区域
粤BHK627,区域四,2021-06-14 11:32:00,区域
鲁Q703LE,区域四,2021-06-14 11:22:00,区域
苏ERM671,区域四,2021-06-14 11:07:00,区域
湘J35929,区域四,2021-06-14 10:48:00,区域
桂KV1010,区域四,2021-06-14 10:47:00,区域
冀A918V6,区域四,2021-06-13 23:56:00,区域
桂NC3518,区域四,2021-06-13 22:55:00,区域
鲁Q7510H,区域四,2021-06-13 22:23:00,区域
豫A7786P,区域四,2021-06-13 21:06:00,区域
桂P26769,区域四,2021-06-13 20:31:00,区域
豫U78600,区域三,2021-06-13 18:34:00,区域
鲁FAA857,区域四,2021-06-13 18:16:00,区域
鲁UR8011,区域四,2021-06-13 18:11:00,区域
鲁FBF577,区域四,2021-06-13 17:12:00,区域
桂K13430,区域四,2021-06-13 17:08:00,区域
闽C95023,区域四,2021-06-13 17:07:00,区域
桂AP2189,区域四,2021-06-13 16:34:00,区域
桂KL6802,区域四,2021-06-13 15:56:00,区域
吉H96777,区域四,2021-06-13 15:50:00,区域
辽HK7080,区域四,2021-06-13 15:43:00,区域
皖KP0826,区域四,2021-06-13 15:19:00,区域
桂K38230,区域四,2021-06-13 15:18:00,区域
鄂FNP636,区域四,2021-06-13 15:16:00,区域
闽A5M720,区域四,2021-06-13 15:00:00,区域
鲁PU8310,区域四,2021-06-13 14:55:00,区域
津CA6071,区域四,2021-06-13 14:54:00,区域
鲁UX2688,区域四,2021-06-13 14:21:00,区域
鲁PN1697,区域四,2021-06-13 14:09:00,区域
桂KB2970,区域四,2021-06-13 13:48:00,区域
鲁FBA877,区域四,2021-06-13 13:38:00,区域
鲁Q6346H,区域四,2021-06-13 12:15:00,区域
桂KA9179,区域四,2021-06-13 11:47:00,区域
鲁FAK307,区域四,2021-06-13 11:41:00,区域
鲁Q278AP,区域四,2021-06-13 11:33:00,区域
豫RRZ715,区域四,2021-06-13 11:10:00,区域
沪EG7225,区域四,2021-06-13 11:00:00,区域
桂P87626,区域四,2021-06-13 10:30:00,区域
鲁RL7622,区域四,2021-06-13 10:29:00,区域
皖KP9753,区域四,2021-06-13 10:26:00,区域
辽HQ3526,区域四,2021-06-13 10:17:00,区域
鄂AMU798,区域四,2021-06-13 09:41:00,区域
鲁PQ5136,区域四,2021-06-13 09:37:00,区域
赣CC4986,富民商贸615,2021-06-13 09:28:00,区域
桂P18088,富民商贸615,2021-06-13 08:26:00,区域
鲁PQ9832,富民商贸615,2021-06-12 23:25:00,区域
桂N60995,富民商贸615,2021-06-12 22:54:00,区域
川ADJ718,富民商贸615,2021-06-12 22:40:00,区域
豫K58448,富民商贸615,2021-06-12 21:37:00,区域
辽J61715,富民商贸615,2021-06-12 20:33:00,区域
冀A7B512,富民商贸615,2021-06-12 19:05:00,区域
桂P58669,富民商贸615,2021-06-12 18:42:00,区域
苏CJW699,富民商贸615,2021-06-12 18:37:00,区域
桂N96116,富民商贸615,2021-06-12 18:31:00,区域
湘C77309,富民商贸615,2021-06-12 17:51:00,区域
豫PR6621,富民商贸615,2021-06-12 17:23:00,区域
苏F89575,富民商贸615,2021-06-12 17:13:00,区域
鲁PQ0561,富民商贸615,2021-06-12 16:47:00,区域
辽BN3308,区域三,2021-06-12 16:37:00,区域
辽BHP082,富民商贸615,2021-06-12 16:07:00,区域
皖LB4171,富民商贸615,2021-06-12 15:21:00,区域
豫NN3193,富民商贸615,2021-06-12 15:00:00,区域
鲁Q655KV,富民商贸615,2021-06-12 14:44:00,区域
冀GM5692,富民商贸615,2021-06-12 14:44:00,区域
鲁FCC357,富民商贸615,2021-06-12 14:27:00,区域
鲁FAE639,富民商贸615,2021-06-12 14:17:00,区域
湘AJ2802,富民商贸615,2021-06-12 14:15:00,区域
辽ACJ249,富民商贸615,2021-06-12 14:07:00,区域
桂P81516,富民商贸615,2021-06-12 14:01:00,区域
桂P53698,富民商贸615,2021-06-12 13:58:00,区域
贵EB1208,富民商贸615,2021-06-12 13:18:00,区域
辽HK7680,富民商贸615,2021-06-12 12:30:00,区域
苏CKT176,富民商贸615,2021-06-12 12:26:00,区域
鲁Q397JD,富民商贸615,2021-06-12 12:10:00,区域
桂P28158,富民商贸615,2021-06-12 12:02:00,区域
赣D73596,富民商贸615,2021-06-12 12:00:00,区域
湘JB1397,富民商贸615,2021-06-12 11:59:00,区域
桂KR3675,富民商贸615,2021-06-12 11:14:00,区域
桂N60099,富民商贸615,2021-06-12 11:07:00,区域
赣K66761,富民商贸615,2021-06-12 11:05:00,区域
皖S63780,富民商贸615,2021-06-12 11:04:00,区域
鲁H27J53,富民商贸615,2021-06-12 10:41:00,区域
鄂AMH538,富民商贸615,2021-06-12 10:34:00,区域
豫PS6026,富民商贸615,2021-06-12 10:27:00,区域
桂P18801,富民商贸615,2021-06-12 10:17:00,区域
